,age,workclass,education,educational.num,marital.status,race,gender,hours.per.week,income
5792,31.0 - 35.0,Self-emp-not-inc,Some-college,10,Separated,White,Female,50.0 - 99.0,<=50K
5793,40.0 - 45.0,Private,HS-grad,9,Divorced,White,Male,0.0 - 36.0,<=50K
5795,45.0 - 50.0,Private,Bachelors,13,Separated,White,Female,40.0 - 50.0,<=50K
5796,45.0 - 50.0,Local-gov,Assoc-acdm,12,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
5798,45.0 - 50.0,Self-emp-not-inc,Some-college,10,Never-married,White,Male,0.0 - 36.0,<=50K
5799,58.0 - 90.0,Private,7th-8th,4,Divorced,White,Female,36.0 - 40.0,<=50K
5800,25.0 - 31.0,Private,Assoc-acdm,12,Married-spouse-absent,White,Female,40.0 - 50.0,<=50K
5801,50.0 - 58.0,Local-gov,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5802,35.0 - 40.0,Private,HS-grad,9,Separated,White,Male,40.0 - 50.0,<=50K
5805,50.0 - 58.0,Federal-gov,Bachelors,13,Separated,Black,Male,36.0 - 40.0,<=50K
5806,50.0 - 58.0,Private,Assoc-voc,11,Divorced,White,Male,36.0 - 40.0,>50K
5807,50.0 - 58.0,Private,9th,5,Widowed,White,Male,0.0 - 36.0,<=50K
5808,40.0 - 45.0,Private,HS-grad,9,Divorced,White,Female,50.0 - 99.0,>50K
5809,31.0 - 35.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
5810,16.0 - 25.0,Private,Some-college,10,Married-civ-spouse,White,Female,36.0 - 40.0,<=50K
5814,50.0 - 58.0,Private,HS-grad,9,Married-civ-spouse,Amer-Indian-Eskimo,Male,36.0 - 40.0,<=50K
5815,50.0 - 58.0,Federal-gov,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
5816,31.0 - 35.0,State-gov,Doctorate,16,Married-civ-spouse,Asian-Pac-Islander,Male,0.0 - 36.0,<=50K
5818,40.0 - 45.0,State-gov,Masters,14,Divorced,Black,Female,36.0 - 40.0,<=50K
5820,58.0 - 90.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
5821,16.0 - 25.0,Private,12th,8,Never-married,White,Male,50.0 - 99.0,<=50K
5822,45.0 - 50.0,Private,Bachelors,13,Widowed,White,Female,36.0 - 40.0,<=50K
5823,40.0 - 45.0,Private,Bachelors,13,Separated,Black,Female,36.0 - 40.0,<=50K
5825,35.0 - 40.0,Self-emp-inc,HS-grad,9,Never-married,White,Male,50.0 - 99.0,<=50K
5826,31.0 - 35.0,Private,Assoc-acdm,12,Never-married,White,Male,36.0 - 40.0,<=50K
5827,50.0 - 58.0,Private,10th,6,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
5829,40.0 - 45.0,Private,Some-college,10,Married-civ-spouse,White,Female,36.0 - 40.0,>50K
5832,50.0 - 58.0,Private,Assoc-acdm,12,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
5833,16.0 - 25.0,Private,Assoc-voc,11,Never-married,White,Male,0.0 - 36.0,<=50K
5834,45.0 - 50.0,Private,Some-college,10,Never-married,White,Male,50.0 - 99.0,<=50K
5835,25.0 - 31.0,Private,HS-grad,9,Never-married,Other,Male,36.0 - 40.0,<=50K
5836,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,0.0 - 36.0,<=50K
5838,45.0 - 50.0,State-gov,Doctorate,16,Married-civ-spouse,Asian-Pac-Islander,Male,36.0 - 40.0,>50K
5839,45.0 - 50.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Female,50.0 - 99.0,<=50K
5840,35.0 - 40.0,Private,Some-college,10,Widowed,White,Male,36.0 - 40.0,<=50K
5842,35.0 - 40.0,Federal-gov,HS-grad,9,Widowed,White,Female,50.0 - 99.0,<=50K
5843,31.0 - 35.0,Private,HS-grad,9,Separated,White,Male,36.0 - 40.0,<=50K
5844,31.0 - 35.0,Private,HS-grad,9,Divorced,White,Male,50.0 - 99.0,<=50K
5848,45.0 - 50.0,Federal-gov,Assoc-acdm,12,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
5851,31.0 - 35.0,Private,Bachelors,13,Never-married,White,Male,0.0 - 36.0,>50K
5852,40.0 - 45.0,Private,Bachelors,13,Never-married,White,Female,0.0 - 36.0,<=50K
5853,31.0 - 35.0,Private,HS-grad,9,Divorced,White,Female,36.0 - 40.0,>50K
5856,58.0 - 90.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
5858,40.0 - 45.0,Private,HS-grad,9,Never-married,Black,Female,36.0 - 40.0,<=50K
5859,40.0 - 45.0,Private,Some-college,10,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
5860,40.0 - 45.0,Private,Some-college,10,Separated,White,Female,36.0 - 40.0,<=50K
5861,35.0 - 40.0,Self-emp-not-inc,Some-college,10,Divorced,White,Male,0.0 - 36.0,<=50K
5862,16.0 - 25.0,State-gov,Some-college,10,Never-married,White,Male,36.0 - 40.0,<=50K
5864,16.0 - 25.0,Private,11th,7,Never-married,White,Male,36.0 - 40.0,<=50K
5865,35.0 - 40.0,Private,HS-grad,9,Divorced,White,Male,36.0 - 40.0,<=50K
5866,50.0 - 58.0,Private,Assoc-acdm,12,Married-spouse-absent,Asian-Pac-Islander,Female,36.0 - 40.0,<=50K
5867,31.0 - 35.0,Private,Assoc-voc,11,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
5868,50.0 - 58.0,Self-emp-not-inc,Assoc-voc,11,Married-spouse-absent,White,Male,40.0 - 50.0,<=50K
5869,25.0 - 31.0,Private,11th,7,Never-married,Black,Male,40.0 - 50.0,<=50K
5870,25.0 - 31.0,Private,7th-8th,4,Never-married,White,Male,50.0 - 99.0,<=50K
5871,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,0.0 - 36.0,<=50K
5872,31.0 - 35.0,Self-emp-not-inc,HS-grad,9,Divorced,White,Female,40.0 - 50.0,<=50K
5874,31.0 - 35.0,Local-gov,HS-grad,9,Never-married,White,Female,36.0 - 40.0,<=50K
5875,50.0 - 58.0,Private,10th,6,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
5876,31.0 - 35.0,Private,Assoc-voc,11,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
5877,16.0 - 25.0,Private,HS-grad,9,Married-civ-spouse,White,Female,36.0 - 40.0,<=50K
5878,16.0 - 25.0,Private,11th,7,Married-civ-spouse,White,Female,36.0 - 40.0,<=50K
5882,45.0 - 50.0,Local-gov,HS-grad,9,Divorced,White,Female,0.0 - 36.0,<=50K
5884,35.0 - 40.0,Private,Bachelors,13,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
5885,31.0 - 35.0,Local-gov,HS-grad,9,Divorced,Amer-Indian-Eskimo,Male,36.0 - 40.0,<=50K
5887,31.0 - 35.0,Private,Bachelors,13,Never-married,White,Female,36.0 - 40.0,<=50K
5888,25.0 - 31.0,Private,Some-college,10,Separated,White,Female,0.0 - 36.0,<=50K
5889,45.0 - 50.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
5890,35.0 - 40.0,Private,Bachelors,13,Divorced,White,Female,36.0 - 40.0,<=50K
5891,45.0 - 50.0,Private,Some-college,10,Married-spouse-absent,White,Male,36.0 - 40.0,<=50K
5892,45.0 - 50.0,Self-emp-inc,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
5893,40.0 - 45.0,Private,5th-6th,3,Married-spouse-absent,White,Male,36.0 - 40.0,<=50K
5894,50.0 - 58.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5896,58.0 - 90.0,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5897,25.0 - 31.0,Private,Assoc-voc,11,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
5898,31.0 - 35.0,Self-emp-not-inc,11th,7,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5899,50.0 - 58.0,Private,HS-grad,9,Separated,White,Female,36.0 - 40.0,>50K
5900,58.0 - 90.0,Self-emp-inc,Doctorate,16,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
5901,35.0 - 40.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
5902,40.0 - 45.0,Local-gov,Bachelors,13,Never-married,White,Female,40.0 - 50.0,<=50K
5903,16.0 - 25.0,Private,Bachelors,13,Never-married,Asian-Pac-Islander,Female,36.0 - 40.0,<=50K
5905,45.0 - 50.0,Private,HS-grad,9,Never-married,White,Male,50.0 - 99.0,<=50K
5906,25.0 - 31.0,Local-gov,Bachelors,13,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
5907,31.0 - 35.0,Private,Assoc-acdm,12,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5908,45.0 - 50.0,Private,10th,6,Never-married,White,Female,36.0 - 40.0,<=50K
5909,31.0 - 35.0,Local-gov,Some-college,10,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
5910,45.0 - 50.0,Private,HS-grad,9,Married-civ-spouse,Black,Male,36.0 - 40.0,<=50K
5911,35.0 - 40.0,Private,HS-grad,9,Divorced,White,Male,40.0 - 50.0,<=50K
5912,50.0 - 58.0,Federal-gov,HS-grad,9,Divorced,White,Female,36.0 - 40.0,<=50K
5913,40.0 - 45.0,Private,HS-grad,9,Divorced,White,Male,40.0 - 50.0,<=50K
5914,25.0 - 31.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
5916,45.0 - 50.0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
5917,16.0 - 25.0,State-gov,Some-college,10,Never-married,Other,Female,36.0 - 40.0,>50K
5918,50.0 - 58.0,Private,Some-college,10,Divorced,Black,Female,36.0 - 40.0,<=50K
5920,31.0 - 35.0,Private,Some-college,10,Divorced,White,Female,0.0 - 36.0,<=50K
5921,45.0 - 50.0,Private,Some-college,10,Married-civ-spouse,White,Female,36.0 - 40.0,<=50K
5922,35.0 - 40.0,Private,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
5923,16.0 - 25.0,Private,Some-college,10,Never-married,White,Male,40.0 - 50.0,<=50K
5924,50.0 - 58.0,Private,HS-grad,9,Never-married,White,Female,0.0 - 36.0,<=50K
5925,40.0 - 45.0,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
5926,31.0 - 35.0,Private,Masters,14,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
5928,45.0 - 50.0,Local-gov,Masters,14,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
5929,25.0 - 31.0,Private,HS-grad,9,Married-civ-spouse,Black,Male,36.0 - 40.0,<=50K
5930,58.0 - 90.0,Private,Doctorate,16,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
5931,50.0 - 58.0,State-gov,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
5932,31.0 - 35.0,Private,Masters,14,Married-civ-spouse,Asian-Pac-Islander,Male,36.0 - 40.0,>50K
5934,16.0 - 25.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5935,25.0 - 31.0,Local-gov,Some-college,10,Never-married,Black,Female,40.0 - 50.0,<=50K
5936,31.0 - 35.0,Self-emp-not-inc,HS-grad,9,Divorced,White,Female,0.0 - 36.0,>50K
5937,31.0 - 35.0,Private,Bachelors,13,Never-married,White,Male,40.0 - 50.0,<=50K
5938,58.0 - 90.0,Private,Bachelors,13,Married-civ-spouse,White,Male,0.0 - 36.0,>50K
5941,31.0 - 35.0,Private,Doctorate,16,Married-spouse-absent,Other,Male,50.0 - 99.0,>50K
5943,35.0 - 40.0,Private,Bachelors,13,Divorced,Black,Female,36.0 - 40.0,<=50K
5944,45.0 - 50.0,Private,Bachelors,13,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
5945,50.0 - 58.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
5948,31.0 - 35.0,Private,Bachelors,13,Married-spouse-absent,White,Male,50.0 - 99.0,<=50K
5949,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Male,0.0 - 36.0,<=50K
5950,35.0 - 40.0,Private,Bachelors,13,Never-married,White,Female,40.0 - 50.0,>50K
5953,40.0 - 45.0,Federal-gov,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
5954,31.0 - 35.0,Private,11th,7,Married-civ-spouse,Black,Male,36.0 - 40.0,<=50K
5955,35.0 - 40.0,Private,HS-grad,9,Never-married,Black,Male,0.0 - 36.0,<=50K
5958,50.0 - 58.0,Private,HS-grad,9,Divorced,White,Male,36.0 - 40.0,<=50K
5959,25.0 - 31.0,Private,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
5960,31.0 - 35.0,State-gov,Doctorate,16,Never-married,White,Male,36.0 - 40.0,<=50K
5961,50.0 - 58.0,Federal-gov,Assoc-voc,11,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5962,31.0 - 35.0,State-gov,HS-grad,9,Never-married,White,Male,36.0 - 40.0,<=50K
5963,45.0 - 50.0,Private,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
5965,31.0 - 35.0,Private,HS-grad,9,Divorced,White,Male,40.0 - 50.0,<=50K
5966,58.0 - 90.0,Private,HS-grad,9,Separated,White,Female,36.0 - 40.0,<=50K
5967,40.0 - 45.0,Private,HS-grad,9,Separated,White,Male,0.0 - 36.0,<=50K
5968,58.0 - 90.0,Private,Some-college,10,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
5970,58.0 - 90.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5971,25.0 - 31.0,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Amer-Indian-Eskimo,Male,36.0 - 40.0,<=50K
5972,50.0 - 58.0,Self-emp-not-inc,Masters,14,Married-civ-spouse,White,Female,50.0 - 99.0,>50K
5974,58.0 - 90.0,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
5979,31.0 - 35.0,Private,9th,5,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5980,25.0 - 31.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
5981,58.0 - 90.0,Private,Assoc-acdm,12,Divorced,White,Female,36.0 - 40.0,<=50K
5982,25.0 - 31.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5984,58.0 - 90.0,Private,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
5986,31.0 - 35.0,Local-gov,HS-grad,9,Separated,White,Male,40.0 - 50.0,<=50K
5987,16.0 - 25.0,State-gov,Some-college,10,Never-married,White,Female,0.0 - 36.0,<=50K
5988,50.0 - 58.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
5989,50.0 - 58.0,State-gov,Some-college,10,Widowed,White,Female,36.0 - 40.0,<=50K
5990,45.0 - 50.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
5991,45.0 - 50.0,Private,Some-college,10,Divorced,White,Female,40.0 - 50.0,<=50K
5992,35.0 - 40.0,Federal-gov,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
5995,50.0 - 58.0,Private,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
5998,50.0 - 58.0,Private,11th,7,Divorced,Black,Male,50.0 - 99.0,<=50K
6000,58.0 - 90.0,Self-emp-inc,HS-grad,9,Widowed,White,Female,36.0 - 40.0,<=50K
6001,45.0 - 50.0,Private,5th-6th,3,Widowed,White,Female,36.0 - 40.0,<=50K
6002,16.0 - 25.0,Private,11th,7,Never-married,White,Male,0.0 - 36.0,<=50K
6003,40.0 - 45.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
6006,25.0 - 31.0,Federal-gov,Masters,14,Never-married,White,Female,36.0 - 40.0,<=50K
6007,35.0 - 40.0,Private,Some-college,10,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
6008,25.0 - 31.0,Private,Assoc-acdm,12,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
6009,25.0 - 31.0,Private,Some-college,10,Never-married,Amer-Indian-Eskimo,Male,40.0 - 50.0,<=50K
6010,31.0 - 35.0,State-gov,HS-grad,9,Divorced,White,Male,36.0 - 40.0,<=50K
6011,50.0 - 58.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6012,40.0 - 45.0,State-gov,HS-grad,9,Never-married,White,Male,40.0 - 50.0,<=50K
6013,31.0 - 35.0,Self-emp-not-inc,9th,5,Never-married,Black,Male,36.0 - 40.0,<=50K
6014,58.0 - 90.0,Local-gov,Bachelors,13,Married-civ-spouse,White,Female,0.0 - 36.0,<=50K
6015,45.0 - 50.0,Local-gov,Bachelors,13,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
6016,31.0 - 35.0,Private,Some-college,10,Divorced,White,Female,36.0 - 40.0,<=50K
6017,58.0 - 90.0,Private,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
6018,35.0 - 40.0,Private,HS-grad,9,Never-married,White,Male,40.0 - 50.0,<=50K
6019,25.0 - 31.0,Private,Prof-school,15,Never-married,White,Male,40.0 - 50.0,<=50K
6020,31.0 - 35.0,Self-emp-not-inc,HS-grad,9,Never-married,White,Female,36.0 - 40.0,<=50K
6021,35.0 - 40.0,Local-gov,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
6022,25.0 - 31.0,Private,Some-college,10,Married-civ-spouse,White,Female,0.0 - 36.0,>50K
6025,58.0 - 90.0,Private,7th-8th,4,Married-civ-spouse,White,Female,0.0 - 36.0,<=50K
6026,58.0 - 90.0,Private,HS-grad,9,Widowed,White,Male,40.0 - 50.0,<=50K
6027,40.0 - 45.0,Local-gov,Bachelors,13,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6028,40.0 - 45.0,Federal-gov,HS-grad,9,Never-married,Black,Female,36.0 - 40.0,<=50K
6030,31.0 - 35.0,State-gov,Some-college,10,Separated,Black,Male,36.0 - 40.0,<=50K
6031,40.0 - 45.0,Local-gov,Masters,14,Married-civ-spouse,White,Female,36.0 - 40.0,>50K
6033,58.0 - 90.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6034,58.0 - 90.0,Private,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
6035,58.0 - 90.0,Private,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
6036,40.0 - 45.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6037,16.0 - 25.0,Private,Bachelors,13,Never-married,White,Female,0.0 - 36.0,<=50K
6038,16.0 - 25.0,Private,10th,6,Never-married,White,Female,0.0 - 36.0,<=50K
6039,50.0 - 58.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
6040,25.0 - 31.0,Private,11th,7,Never-married,White,Male,0.0 - 36.0,<=50K
6042,45.0 - 50.0,Self-emp-inc,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
6043,25.0 - 31.0,Private,Assoc-voc,11,Never-married,White,Male,0.0 - 36.0,<=50K
6044,40.0 - 45.0,Private,HS-grad,9,Married-spouse-absent,White,Female,36.0 - 40.0,<=50K
6046,31.0 - 35.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6047,31.0 - 35.0,Self-emp-not-inc,Some-college,10,Never-married,White,Male,40.0 - 50.0,<=50K
6048,35.0 - 40.0,Private,HS-grad,9,Never-married,White,Male,0.0 - 36.0,<=50K
6049,58.0 - 90.0,Private,Assoc-voc,11,Widowed,White,Female,0.0 - 36.0,<=50K
6050,35.0 - 40.0,Private,Bachelors,13,Divorced,White,Male,40.0 - 50.0,>50K
6053,58.0 - 90.0,State-gov,Bachelors,13,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6057,16.0 - 25.0,Private,11th,7,Never-married,White,Male,36.0 - 40.0,<=50K
6058,31.0 - 35.0,Private,Bachelors,13,Married-civ-spouse,White,Female,0.0 - 36.0,>50K
6059,45.0 - 50.0,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
6060,40.0 - 45.0,Private,Masters,14,Never-married,White,Female,36.0 - 40.0,<=50K
6061,35.0 - 40.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
6062,50.0 - 58.0,Without-pay,Assoc-acdm,12,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6064,50.0 - 58.0,Local-gov,Masters,14,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
6065,31.0 - 35.0,Self-emp-not-inc,Assoc-voc,11,Divorced,Black,Male,40.0 - 50.0,<=50K
6067,45.0 - 50.0,Private,Masters,14,Divorced,White,Female,40.0 - 50.0,<=50K
6068,16.0 - 25.0,Private,11th,7,Never-married,White,Female,0.0 - 36.0,<=50K
6069,16.0 - 25.0,Private,HS-grad,9,Divorced,Black,Female,36.0 - 40.0,<=50K
6071,25.0 - 31.0,Private,Some-college,10,Divorced,White,Male,0.0 - 36.0,<=50K
6072,45.0 - 50.0,Private,11th,7,Divorced,White,Female,0.0 - 36.0,<=50K
6073,35.0 - 40.0,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
6074,50.0 - 58.0,Private,Some-college,10,Married-civ-spouse,Asian-Pac-Islander,Male,40.0 - 50.0,>50K
6075,40.0 - 45.0,Private,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
6077,25.0 - 31.0,Local-gov,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6078,40.0 - 45.0,State-gov,Doctorate,16,Married-civ-spouse,White,Female,36.0 - 40.0,>50K
6079,58.0 - 90.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
6080,31.0 - 35.0,Private,Bachelors,13,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
6081,58.0 - 90.0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
6083,25.0 - 31.0,Private,Some-college,10,Never-married,Black,Male,0.0 - 36.0,<=50K
6084,35.0 - 40.0,Private,Some-college,10,Divorced,Black,Male,36.0 - 40.0,<=50K
6087,40.0 - 45.0,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
6088,31.0 - 35.0,Local-gov,Some-college,10,Divorced,White,Female,0.0 - 36.0,<=50K
6089,16.0 - 25.0,Private,10th,6,Never-married,White,Female,0.0 - 36.0,<=50K
6090,31.0 - 35.0,State-gov,Masters,14,Married-civ-spouse,Asian-Pac-Islander,Male,0.0 - 36.0,<=50K
6091,35.0 - 40.0,Private,Assoc-voc,11,Divorced,Black,Female,36.0 - 40.0,<=50K
6093,58.0 - 90.0,Local-gov,HS-grad,9,Widowed,White,Female,36.0 - 40.0,<=50K
6095,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Female,0.0 - 36.0,<=50K
6096,50.0 - 58.0,Federal-gov,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
6097,50.0 - 58.0,Private,10th,6,Widowed,White,Female,0.0 - 36.0,<=50K
6100,31.0 - 35.0,Self-emp-not-inc,10th,6,Married-civ-spouse,White,Female,0.0 - 36.0,<=50K
6102,45.0 - 50.0,Local-gov,Masters,14,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
6103,25.0 - 31.0,Private,9th,5,Never-married,White,Male,36.0 - 40.0,<=50K
6104,25.0 - 31.0,Private,Some-college,10,Married-civ-spouse,White,Female,36.0 - 40.0,>50K
6105,35.0 - 40.0,Private,HS-grad,9,Divorced,Black,Female,36.0 - 40.0,<=50K
6106,50.0 - 58.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6107,40.0 - 45.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
6108,40.0 - 45.0,Self-emp-not-inc,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
6109,40.0 - 45.0,Federal-gov,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
6110,35.0 - 40.0,Self-emp-inc,Bachelors,13,Married-civ-spouse,Asian-Pac-Islander,Female,36.0 - 40.0,>50K
6113,45.0 - 50.0,Private,HS-grad,9,Never-married,Other,Male,36.0 - 40.0,<=50K
6114,25.0 - 31.0,State-gov,Some-college,10,Never-married,White,Male,36.0 - 40.0,<=50K
6116,45.0 - 50.0,Private,Bachelors,13,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
6117,50.0 - 58.0,Private,Some-college,10,Widowed,Asian-Pac-Islander,Female,36.0 - 40.0,<=50K
6118,58.0 - 90.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
6119,16.0 - 25.0,Private,11th,7,Never-married,Black,Female,0.0 - 36.0,<=50K
6120,25.0 - 31.0,Local-gov,Some-college,10,Never-married,White,Male,50.0 - 99.0,<=50K
6121,58.0 - 90.0,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
6123,16.0 - 25.0,Private,HS-grad,9,Widowed,White,Male,36.0 - 40.0,<=50K
6124,45.0 - 50.0,Private,Bachelors,13,Married-civ-spouse,White,Female,36.0 - 40.0,>50K
6125,58.0 - 90.0,Private,HS-grad,9,Widowed,White,Female,0.0 - 36.0,<=50K
6127,45.0 - 50.0,Private,Assoc-acdm,12,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
6129,16.0 - 25.0,State-gov,HS-grad,9,Never-married,White,Male,36.0 - 40.0,<=50K
6130,31.0 - 35.0,Private,Bachelors,13,Never-married,White,Female,40.0 - 50.0,>50K
6131,45.0 - 50.0,Private,HS-grad,9,Never-married,White,Male,40.0 - 50.0,<=50K
6134,25.0 - 31.0,State-gov,Bachelors,13,Never-married,Asian-Pac-Islander,Female,36.0 - 40.0,>50K
6137,16.0 - 25.0,Private,Some-college,10,Never-married,White,Male,0.0 - 36.0,<=50K
6138,35.0 - 40.0,Private,Masters,14,Married-civ-spouse,Black,Male,36.0 - 40.0,>50K
6139,16.0 - 25.0,Local-gov,Some-college,10,Never-married,White,Female,0.0 - 36.0,<=50K
6140,58.0 - 90.0,Private,Assoc-voc,11,Divorced,Black,Female,0.0 - 36.0,<=50K
6143,25.0 - 31.0,Private,Some-college,10,Never-married,Black,Male,50.0 - 99.0,<=50K
6144,35.0 - 40.0,Private,Assoc-acdm,12,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
6146,50.0 - 58.0,Private,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
6147,25.0 - 31.0,Local-gov,HS-grad,9,Separated,Black,Male,36.0 - 40.0,<=50K
6149,16.0 - 25.0,Private,Some-college,10,Married-civ-spouse,Other,Female,0.0 - 36.0,<=50K
6151,35.0 - 40.0,Private,Masters,14,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
